gene	tss	aaa	length
Banp	122676489	122755997	79508
Bap1	30973407	30981901	8494
Bard1	71066657	71142305	75648
Barhl1	28797691	28806680	8989
Barhl2	106600389	106606032	5643
Barx1	48816474	48819983	3509
Barx2	31757340	31824758	67418
Basp1	25363363	25413850	50487
Batf	85733443	85755861	22418
Batf2	6191013	6222506	31493
Batf3	190830044	190841142	11098
Bax	45111121	45116322	5201
Baz1a	54939774	55061133	121359
Baz1b	135216118	135274983	58865
Baz2a	127927446	127965172	37726
Baz2b	59729707	60040183	310476
BB014433	15091444	15096078	4634
BB019430	58532567	58540101	7534
BB031773	102861303	102869162	7859
BB123696	52883651	52911241	27590
BB187690	57561825	57563000	1175
BB218582	106473259	106480709	7450
BB365896	58942640	58979068	36428
BB557941	57017491	57071766	54275
Bbc3	16042318	16052130	9812
Bbip1	53918292	53933058	14766
Bbln	32267109	32271950	4841
Bbof1	84455845	84489661	33816
Bbox1	110093042	110144905	51863
Bbs1	4936906	4956656	19750
Bbs10	111134540	111137588	3048
Bbs12	37366703	37375602	8899
Bbs2	94794582	94825556	30974
Bbs4	59229273	59260791	31518
Bbs5	69477515	69497915	20400
Bbs7	36627291	36667626	40335
Bbs9	22387011	22799576	412565
Bbx	50012207	50252753	240546
BC001981	100243303	100244847	1544
BC002059	17171801	17194419	22618
BC002189	19740135	19740732	597
BC003965	25403528	25406636	3108
BC004004	29487762	29533039	45277
BC005537	24985640	25000180	14540
BC005624	30862189	30872213	10024
BC006965	112554753	112672802	118049
BC016548	103207988	103219389	11401
BC016579	45447211	45474431	27220
BC018473	116642993	116650199	7206
BC021767	94569137	94578003	8866
BC022960	168151185	168152999	1814
BC023105	60574837	60576052	1215
BC023719	36422318	36428013	5695
BC024063	81919187	81947050	27863
BC024139	76003717	76010796	7079
BC024386	140485927	140487896	1969
BC024978	26895206	26909611	14405
BC025920	81442104	81456537	14433
BC026513	76359774	76361929	2155
BC026762	25709314	25711816	2502
BC028471	149291101	149317061	25960
BC028528	95791266	95799317	8051
BC028777	24427835	24440704	12869
BC029722	155659650	155661346	1696
BC030343	143255830	143258268	2438
BC030500	59364789	59367332	2543
BC031181	75138939	75143223	4284
BC034090	155088217	155120190	31973
BC035044	128826053	128868089	42036
BC035947	78473663	78488795	15132
BC037032	4049596	4056887	7291
BC037039	37938771	37940975	2204
BC037156	88056638	88062030	5392
BC037704	43663617	43665615	1998
BC039966	154032090	154034960	2870
BC042761	57707946	57709697	1751
BC043934	96317836	96320191	2355
BC046251	65231818	65268632	36814
BC046401	165699604	165700954	1350
BC048403	121575842	121588783	12941
BC048507	68011445	68012044	599
BC048559	41622717	41659433	36716
BC048562	108313681	108323285	9604
BC048602	35307151	35328681	21530
BC048644	122634572	122646429	11857
BC048671	90278201	90282431	4230
BC048679	81144023	81148029	4006
BC049352	45093305	45161318	68013
BC049715	136804624	136817660	13036
BC049739	32728564	32729223	659
BC049762	51144478	51153873	9395
BC049987	44581750	44583535	1785
BC050972	66705960	66711641	5681
BC051019	109311388	109323057	11669
BC051076	88111344	88114211	2867
BC051077	117450583	117453710	3127
BC051142	34617794	34679708	61914
BC051226	34127018	34128291	1273
BC051408	28844914	28859900	14986
BC051537	34302817	34314283	11466
BC051665	60929701	60934178	4477
BC053393	46462363	46480059	17696
BC055308	95256406	95258943	2537
BC055324	163773562	163822365	48803
BC055402	57239804	57254152	14348
BC060293	33949677	33950780	1103
BC061195	92226833	92227552	719
BC061237	44729920	44743802	13882
BC064078	128969915	128985003	15088
BC065397	135642573	135704113	61540
BC065403	72269017	72317227	48210
BC080696	94582216	94584784	2568
BC085271	182986635	182988121	1486
Bc1	144468207	144468374	167
Bc1-ps1	93309445	93309762	317
BC106175	8528874	8532157	3283
BC106179	23039406	23044234	4828
BC107364	96341104	96359622	18518
BC147527	120761928	120770315	8387
Bcam	19490056	19504941	14885
Bcan	87894838	87907537	12699
Bcap29	31640966	31684657	43691
Bcap31	72729784	72759781	29997
Bcar1	112437106	112470441	33335
Bcar3	122087785	122323840	236055
Bcas1	170188911	170269765	80854
Bcas1os1	170247101	170249095	1994
Bcas1os2	170198281	170222355	24074
Bcas2	103078971	103086482	7511
Bcas3	85243993	85716884	472891
Bcas3os1	85593026	85610570	17544
Bcas3os2	85657657	85666506	8849
Bcat1	144939561	145021910	82349
Bcat2	45219577	45239135	19558
Bccip	133311062	133322874	11812
Bcdin3d	99367960	99372611	4651
Bche	73543141	73615748	72607
Bckdha	25329371	25358406	29035
Bckdhb	83807198	84006293	199095
Bckdk	127503254	127509393	6139
Bcl10	145628559	145640111	11552
Bcl11a	24028056	24124123	96067
Bcl11b	107876662	107969861	93199
Bcl2	106465908	106642004	176096
Bcl2a1a	88838953	88844472	5519
Bcl2a1b	89081262	89089880	8618
Bcl2a1c	114159203	114159646	443
Bcl2a1d	88605338	88613967	8629
Bcl2l1	152622588	152673648	51060
Bcl2l10	75255040	75258931	3891
Bcl2l11	127967958	128004467	36509
Bcl2l12	44640646	44648136	7490
Bcl2l13	120813173	120869803	56630
Bcl2l14	134373281	134415699	42418
Bcl2l15	103739917	103761934	22017
Bcl2l2	55120834	55125691	4857
Bcl3	19542387	19556695	14308
Bcl6	23783802	23807602	23800
Bcl6b	70114954	70120624	5670
Bcl7a	123481897	123513055	31158
Bcl7b	135197137	135210709	13572
Bcl7c	127260628	127308105	47477
Bcl9	97110978	97205233	94255
Bcl9l	44394122	44423193	29071
Bclaf1	20188215	20220359	32144
Bclaf3	158309684	158376077	66393
Bco1	117822593	117860459	37866
Bco2	50444387	50466481	22094
Bcor	11902979	12026594	123615
Bcorl1	47430235	47496926	66691
Bcr	74896424	75020753	124329
Bcs1l	74627448	74631602	4154
Bdh1	31241098	31277719	36621
Bdh2	134986982	135010187	23205
Bdkrb1	105569344	105571687	2343
Bdkrb2	105529485	105561496	32011
Bdnf	109505045	109557352	52307
Bdp1	100154502	100240578	86076
BE692007	11447530	11461942	14412
Bean1	104897074	104945754	48680
Becn1	101176778	101193112	16334
Becn2	175747895	175749791	1896
Begain	108998113	109034143	36030
Bend3	43354827	43391392	36565
Bend4	67549490	67585653	36163
Bend5	111272203	111317495	45292
Bend6	33891133	33946897	55764
Bend7	4722642	4806953	84311
Best1	9962538	9978997	16459
Best2	85733831	85741160	7329
Best3	116822219	116860945	38726
Best4-ps	117002454	117005834	3380
Bet1	4076899	4086972	10073
Bet1l	140433307	140437490	4183
Bex1	135114721	135116262	1541
Bex2	134967313	134968985	1672
Bex3	135171002	135172727	1725
Bex4	135039745	135041192	1447
Bex6	31998641	32005790	7149
Bfar	13489722	13521476	31754
Bfsp1	143668448	143705093	36645
Bfsp2	103302123	103357619	55496
Bglap	88290808	88291771	963
Bglap2	88285043	88286006	963
Bglap3	88275923	88280050	4127
Bgn	72527208	72539539	12331
Bhlha15	144127104	144131259	4155
Bhlha9	76563296	76564502	1206
Bhlhb9	134698343	134791830	93487
Bhlhe22	18108338	18111681	3343
Bhlhe23	180416174	180418693	2519
Bhlhe40	108637590	108643886	6296
Bhlhe41	145803969	145811284	7315
Bhmt	93753183	93774469	21286
Bhmt-ps1	26368984	26370207	1223
Bhmt2	93792228	93810810	18582
Bicc1	70758662	70995530	236868
Bicd1	149310384	149464827	154443
Bicd2	49495061	49540502	45441
Bicdl1	115786234	115869680	83446
Bicdl2	23879480	23887595	8115
Bicra	15704597	15781846	77249
Bicral	47109046	47169408	60362
Bid	120868891	120893814	24923
Bik	83411063	83428835	17772
Bin1	32510283	32568790	58507
Bin2	100538958	100567434	28476
Bin3	70337554	70375655	38101
Birc2	7818228	7837065	18837
Birc3	7848700	7873187	24487
Birc5	117740077	117746569	6492
Birc6	74835290	75010351	175061
Birc7	180570816	180575803	4987
Bivm	44158117	44183930	25813
Blcap	157398282	157413194	14912
Blk	63610285	63654486	44201
Blm	80104481	80184867	80386
Blmh	76815635	76878205	62570
Blnk	40917371	40982978	65607
Bloc1s1	128753751	128759904	6153
Bloc1s2	44127685	44134885	7200
Bloc1s2-ps	52509766	52510197	431
Bloc1s3	19238411	19242292	3881
Bloc1s4	36904722	36905994	1272
Bloc1s5	38776818	38819085	42267
Bloc1s6	122580423	122591395	10972
Bloc1s6os	122575210	122580282	5072
Bloodlinc	102266375	102267846	1471
Blvra	126912585	126939004	26419
Blvrb	27147403	27165569	18166
Blzf1	164117369	164135058	17689
Bmerb1	13804468	13919364	114896
Bmf	118359238	118380168	20930
Bmi1	18681829	18691440	9611
Bmp1	70711998	70757674	45676
Bmp10	87405976	87414659	8683
Bmp15	6226161	6232775	6614
Bmp2	133394079	133404805	10726
Bmp2k	97145548	97239726	94178
Bmp3	99002274	99032255	29981
Bmp4	46620977	46628126	7149
Bmp5	75682646	75807592	124946
Bmp6	38529083	38684278	155195
Bmp7	172709805	172782114	72309
Bmp8a	123206438	123237045	30607
Bmp8b	122998958	123025892	26934
Bmper	23134372	23396496	262124
Bmpr1a	34132691	34225298	92607
Bmpr1b	141542897	141875186	332289
Bmpr2	59802559	59918173	115614
Bms1	118360342	118396435	36093
Bmt2	13625672	13677965	52293
Bmx	162975838	163041189	65351
Bmyc	25596751	25597733	982
Bnc1	81616401	81642055	25654
Bnc2	84193332	84593512	400180
Bnip1	27000040	27011539	11499
Bnip2	69896748	69915599	18851
Bnip3	138492565	138511248	18683
Bnip3l	67222688	67246326	23638
Bnip3l-ps	18266543	18267674	1131
Bnip5	29115366	29134298	18932
Bnipl	95148582	95158504	9922
Boc	44305412	44379260	73848
Bod1	31615181	31621885	6704
Bod1-ps	17552033	17552550	517
Bod1l	41944881	42001658	56777
Bok	93613382	93623486	10104
Bola1	96103904	96127025	23121
Bola2	126294573	126298970	4397
Bola3	83326129	83337118	10989
Boll	55287817	55402628	114811
Bop1	76337189	76361477	24288
Bora	99283658	99311976	28318
Borcs5	134616473	134688150	71677
Borcs6	68950543	68952404	1861
Borcs7	46678345	46691821	13476
Borcs8	70592149	70599969	7820
Bpgm	34453142	34482548	29406
Bphl	34221580	34258057	36477
Bpi	158100014	158126451	26437
Bpifa1	153984800	153991139	6339
Bpifa2	153850185	153857999	7814
Bpifa3	153972256	153980276	8020
Bpifa5	154004527	154010370	5843
Bpifa6	153816865	153842415	25550
Bpifb1	154032738	154062289	29551
Bpifb2	153716965	153737190	20225
Bpifb3	153760150	153774916	14766
Bpifb4	153780141	153806021	25880
Bpifb5	154065662	154082822	17160
Bpifb6	153742308	153754715	12407
Bpifb9a	154099774	154113165	13391
Bpifb9b	154149147	154162566	13419
Bpifc	85795204	85847759	52555
Bpnt1	185064346	185089974	25628
Bpnt2	4762484	4793355	30871
Bptf	106923907	107022953	99046
Braf	39580171	39702397	122226
Brap	121798626	121825319	26693
Brat1	140690766	140705134	14368
Brca1	101379590	101442781	63191
Brca2	150446095	150493794	47699
Brcc3	74460234	74497607	37373
Brd1	88571237	88618436	47199
Brd2	34330997	34341608	10611
Brd3	27335591	27397674	62083
Brd3os	27332336	27334233	1897
Brd4	32415248	32503696	88448
Brd7	89057667	89088822	31155
Brd8	34731668	34757654	25986
Brd8dc	34712899	34730521	17622
Brd9	74085930	74109014	23084
Brdt	107479025	107534924	55899
Brf1	112923705	112964324	40619
Brf2	27613392	27618708	5316
Bri3	144181247	144383567	202320
Bri3bp	125518632	125537434	18802
Bricd5	24692858	24694443	1585
Brinp1	68679751	68872634	192883
Brinp2	158072839	158183896	111057
Brinp3	146370498	146778210	407712
Brip1	85948964	86092019	143055
Brip1os	86092196	86195269	103073
Brix1	10474865	10486033	11168
Brk1	113581733	113593912	12179
Brme1	84874654	84899219	24565
Brms1	5091382	5099945	8563
Brms1l	55883109	55916521	33412
Brox	183057916	183078813	20897
Brpf1	113284098	113301821	17723
Brpf3	29020064	29058923	38859
Brs3	56088434	56094118	5684
Brsk1	4693603	4718996	25393
Brsk2	141503488	141557984	54496
Brwd1	95793292	95883726	90434
Brwd3	107780622	107877978	97356
Bscl2	8814831	8826047	11216
Bsdc1	129355374	129382291	26917
Bsg	79540325	79547803	7478
Bsn	107973221	108067583	94362
Bsnd	106340653	106349480	8827
Bsph1	13184766	13207374	22608
Bsph2	13288789	13304992	16203
Bsph2-ps	13259558	13259993	435
Bspry	62398290	62415535	17245
Bst1	43976227	44001328	25101
Bst2	71986899	71990100	3201
Bsx	40785423	40791353	5930
Btaf1	36903479	36990152	86673
Btbd1	81441822	81479179	37357
Btbd10	112914833	112968599	53766
Btbd11	85222678	85496156	273478
Btbd16	130375799	130427629	51830
Btbd17	114682043	114686771	4728
Btbd18	84489423	84499124	9701
Btbd19	116976416	116982922	6506
Btbd2	80478451	80492905	14454
Btbd3	138098485	138431212	332727
Btbd35f1	32070863	32072770	1907
Btbd35f10	3655959	3657910	1951
Btbd35f11	3396756	3398715	1959
Btbd35f12	32750842	32752749	1907
Btbd35f13	33094635	33096335	1700
Btbd35f14	33138112	33139812	1700
Btbd35f15	33012861	33014777	1916
Btbd35f16	3860079	3862027	1948
Btbd35f17	4273978	4275937	1959
Btbd35f18	3605258	3607217	1959
Btbd35f19	31033122	31034822	1700
Btbd35f2	31839202	31841108	1906
Btbd35f20	4192628	4194587	1959
Btbd35f21	32236876	32238818	1942
Btbd35f22	31608531	31610459	1928
Btbd35f23	3076875	3078817	1942
Btbd35f24	3148912	3150852	1940
Btbd35f25	31373674	31375374	1700
Btbd35f26	30987337	30989037	1700
Btbd35f27	4855477	4857419	1942
Btbd35f28	4101601	4103560	1959
Btbd35f29	30768610	30770106	1496
Btbd35f3	3942699	3944641	1942
Btbd35f4	4703838	4705328	1490
Btbd35f5	32411401	32413308	1907
Btbd35f6	33392507	33394003	1496
Btbd35f7	5581121	5583080	1959
Btbd35f8	33814112	33816040	1928
Btbd35f9	33578960	33580888	1928
Btbd6	112940102	112942565	2463
Btbd7	102747056	102844730	97674
Btbd8	107585863	107659073	73210
Btbd9	30434498	30795462	360964
Btc	91505120	91550853	45733
Btd	31362985	31390536	27551
Btf3	98446404	98453514	7110
Btf3-ps1	97876626	97877114	488
Btf3-ps10	50301388	50301824	436
Btf3-ps11	118625032	118641565	16533
Btf3-ps12	86170549	86170882	333
Btf3-ps13	114799557	114800011	454
Btf3-ps14	152282825	152283276	451
Btf3-ps15	52315599	52316115	516
Btf3-ps17	55409175	55409522	347
Btf3-ps18	56903062	56905581	2519
Btf3-ps2	59674000	59674486	486
Btf3-ps3	135240930	135241417	487
Btf3-ps4	123935553	123936000	447
Btf3-ps5	89756688	89757176	488
Btf3-ps6	99747618	99748083	465
Btf3-ps7	41481949	41482861	912
Btf3-ps8	33053838	33054284	446
Btf3-ps9	36799107	36799602	495
Btf3l4	108671492	108690811	19319
Btg1	96452868	96458671	5803
Btg1b	37102050	37107692	5642
Btg1c	37127076	37131991	4915
Btg2	134002908	134006858	3950
Btg3	78129525	78174080	44555
Btg4	50972201	51031175	58974
Btk	133443085	133484319	41234
Btla	45044678	45078033	33355
Btn1a1	23641162	23650071	8909
Btn2a2	23661846	23673027	11181
Btnl1	34596106	34605002	8896
Btnl10	58808734	58817984	9250
Btnl2	34573796	34588469	14673
Btnl4	34685536	34696292	10756
Btnl5-ps	34707044	34716403	9359
Btnl6	34726778	34736326	9548
Btnl7-ps	34751851	34766625	14774
Btnl9	49056412	49077986	21574
Btrc	45352173	45518452	166279
Bub1	127643036	127673785	30749
Bub1b	118428692	118472072	43380
Bub3	131161951	131173624	11673
Bud13	46194306	46210408	16102
Bud23	135081811	135093813	12002
Bud31	145077172	145084888	7716
Bves	45211868	45248575	36707
Bvht	61772613	61780543	7930
Bysl	47910256	47922417	12161
Bzw1	58432057	58446512	14455
Bzw2	36141834	36208079	66245
C030004G16Rik	42748700	42755524	6824
C030005K06Rik	50175797	50186911	11114
C030005K15Rik	97560736	97562617	1881
C030006K11Rik	76605665	76608045	2380
C030006N10Rik	32155173	32155689	516
C030007H22Rik	89288064	89333855	45791
C030010L15Rik	97795796	97798619	2823
C030013C21Rik	80398236	80399932	1696
C030013G03Rik	12685731	12698465	12734
C030014I23Rik	44379641	44393477	13836
C030015A19Rik	90363789	90366339	2550
C030015E24Rik	49155054	49155881	827
C030017B01Rik	40672839	40676079	3240
C030017D09Rik	92551525	92563732	12207
C030017G13Rik	65837357	65839687	2330
C030018K13Rik	64634351	64641310	6959
C030029H02Rik	135870053	135920242	50189
C030032O16Rik	104062849	104063564	715
C030034I22Rik	69724397	69728627	4230
C030034L19Rik	9468124	9502293	34169
C030037D09Rik	88609471	88619719	10248
C030037F17Rik	14795329	14797427	2098
C030038I04Rik	91338677	91339416	739
C030047K22Rik	18697770	18818860	121090
C130012C08Rik	22042504	22046168	3664
C130013H08Rik	110157331	110161022	3691
C130021I20Rik	33531205	33536366	5161
C130023A14Rik	77443228	77446314	3086
C130026I21Rik	84970411	85248287	277876
C130026L21Rik	111729288	111752798	23510
C130032M10Rik	114344765	114345669	904
C130036L24Rik	86287296	86301513	14217
C130040N14Rik	27784086	27785196	1110
C130046K22Rik	103588550	103613658	25108
C130050O18Rik	139391035	139401378	10343
C130051F05Rik	78260601	78264438	3837
C130060C02Rik	15962442	15988060	25618
C130071C03Rik	83869500	84032313	162813
C130073E24Rik	51196326	51370032	173706
C130073F10Rik	101747217	101750986	3769
C130074G19Rik	184604123	184615415	11292
C130075A20Rik	53006421	53010596	4175
C130080G10Rik	113884816	113895349	10533
C130083A15Rik	73177014	73178473	1459
C130083M11Rik	52357326	52373776	16450
C130089K02Rik	51964706	51971665	6959
C130093G08Rik	23251132	23253357	2225
C1d	17207579	17219176	11597
C1galt1	7844842	7875687	30845
C1galt1c1	37719662	37723964	4302
C1qa	136623228	136626114	2886
C1qb	136607440	136613498	6058
C1qbp	70868662	70873852	5190
C1qc	136617115	136620376	3261
C1ql1	102830090	102837514	7424
C1ql2	120268312	120270903	2591
C1ql3	13008268	13016617	8349
C1ql4	98981967	98985698	3731
C1qtnf1	118319029	118340789	21760
C1qtnf12	156046775	156051086	4311
C1qtnf2	43365103	43382352	17249
C1qtnf3	10952418	10980236	27818
C1qtnf4	90716204	90720869	4665
C1qtnf5	44018542	44020484	1942
C1qtnf6	78407546	78415616	8070
C1qtnf7	43672881	43776145	103264
C1qtnf9	61005583	61018318	12735
C1ra	124489364	124500402	11038
C1rb	124547253	124558130	10877
C1rl	124470072	124487602	17530
C1s1	124507304	124519318	12014
C1s2	124601584	124613044	11460
C2	35081580	35117241	35661
C230012O17Rik	24960790	24967449	6659
C230013L11Rik	28393631	28396656	3025
C230014O12Rik	33908301	33997747	89446
C230024C17Rik	153596986	153613575	16589
C230029F24Rik	49283775	49379602	95827
C230031I18Rik	126973925	126977622	3697
C230034O21Rik	38928719	38942408	13689
C230035I16Rik	23612145	23615192	3047
C230037L18Rik	89360439	89369050	8611
C230038L03Rik	96556033	96601093	45060
C230053D17Rik	121148451	121150696	2245
C230057A21Rik	8797930	8801420	3490
C230057M02Rik	123451687	123479064	27377
C230062I16Rik	29653046	29669777	16731
C230066G23Rik	105728306	105729638	1332
C230071H17Rik	131911805	131914777	2972
C230072F16Rik	81204222	81240474	36252
C230079O03Rik	135933945	135951144	17199
C230085N15Rik	52064323	52068649	4326
C230086J09Rik	94034577	94038609	4032
C230096K16Rik	64961357	64963078	1721
C230099D08Rik	83828592	83840724	12132
C2cd2	97656409	97763798	107389
C2cd2l	44220534	44231582	11048
C2cd3	100021440	100119359	97919
C2cd4a	67737771	67739612	1841
C2cd4b	67666719	67668212	1493
C2cd4c	79442688	79449859	7171
C2cd4d	94269745	94271873	2128
C2cd5	142956646	143045867	89221
C2cd6	59036275	59134059	97784
C3	57510970	57535136	24166
C330002G04Rik	22955594	23053288	97694
C330004P14Rik	15667525	15682813	15288
C330008A17Rik	36046185	36049825	3640
C330011F03Rik	51732237	51742866	10629
C330011M18Rik	84791865	84793916	2051
C330013E15Rik	100512018	100512991	973
C330018A13Rik	116261673	116267169	5496
C330018D20Rik	57088905	57108440	19535
C330019F10Rik	107402229	107418046	15817
C330022B21Rik	66488645	66490994	2349
C330022C24Rik	140417134	140425602	8468
C330024C12Rik	87499644	87502370	2726
C330024D21Rik	67621240	67634975	13735
C3ar1	122824097	122833120	9023
C430002N11Rik	96647615	96664530	16915
C430014B12Rik	82669649	82702890	33241
C430019N01Rik	98147243	98148809	1566
C430039J01Rik	116009082	116010038	956
C430039J16Rik	97419691	97422068	2377
C430042M11Rik	84159104	84161847	2743
C430049B03Rik	52143923	52146067	2144
C4a	35028069	35042440	14371
C4b	34947354	34962856	15502
C4bp	130562510	130589369	26859
C4bp-ps1	130597998	130611808	13810
C530005A16Rik	116446930	116454827	7897
C530025M09Rik	149670259	149673562	3303
C530043A13Rik	73561254	73568949	7695
C530043K16Rik	66749805	66752913	3108
C530044C16Rik	50753095	50792013	38918
C5ar1	15980668	15993465	12797
C5ar2	15968510	15978079	9569
C6	4756657	4844449	87792
C630004L07Rik	140965490	140966764	1274
C630004M23Rik	10052649	10054330	1681
C630028M04Rik	51968094	52051110	83016
C630031E19Rik	29725627	29736444	10817
C630043F03Rik	72119585	72133589	14004
C630044B11Rik	58959967	58962177	2210
C630050I24Rik	107845742	107846524	782
C7	5018244	5093222	74978
C730002L08Rik	20387908	20529694	141786
C730027H18Rik	71004567	71017882	13315
C730034F03Rik	89313792	89315071	1279
C730036E19Rik	151013785	151018096	4311
C730045M19Rik	115177829	115179143	1314
C77080	129113371	129155197	41826
C78197	68083019	68086979	3960
C78283	74103724	74105719	1995
C78334	95899987	95906793	6806
C78859	95048786	95054728	5942
C79130	29481000	29485295	4295
C79798	34177783	34194452	16669
C820005J03Rik	53664152	53680371	16219
C86187	46617459	46625659	8200
C87114	12226147	12227041	894
C87198	56637844	56641781	3937
C87436	86415356	86450482	35126
C87487	9407958	9442496	34538
C8a	104672876	104733595	60719
C8b	104623514	104661745	38231
C8g	25388663	25391731	3068
C9	6474808	6528232	53424
C920006O11Rik	78083196	78086161	2965
C920009B18Rik	22182601	22197664	15063
C920021L13Rik	95778834	95796405	17571
C9orf72	35191285	35226175	34890
Caap1	94388318	94445033	56715
Cab39	85721162	85779297	58135
Cab39l	59678421	59823213	144792
Cabcoco1	68266783	68377726	110943
Cabin1	75481946	75600175	118229
Cables1	11972277	12078687	106410
Cables2	179900333	179915289	14956
Cabp1	115306748	115332440	25692
Cabp2	4131578	4137340	5762
Cabp4	4185422	4194032	8610
Cabp5	13132057	13142812	10755
Cabp7	4686892	4696778	9886
Cabs1	88127298	88129403	2105
Cabyr	12873379	12888317	14938
Cacfd1	26899938	26911101	11163
Cachd1	100633872	100886417	252545
Cacna1a	85065268	85366875	301607
Cacna1b	24493899	24653164	159265
Cacna1c	118564201	119173851	609650
Cacna1d	29761896	30213412	451516
Cacna1e	154266477	154760247	493770
Cacna1f	7473322	7501435	28113
Cacna1g	94299217	94365024	65807
Cacna1h	25593259	25652757	59498
Cacna1i	80171439	80282480	111041
Cacna1s	135980488	136047560	67072
Cacna2d1	16139689	16579509	439820
Cacna2d2	107276811	107406542	129731
Cacna2d3	28626900	29443821	816921
Cacna2d4	119213487	119329368	115881
Cacnb1	97892334	97913860	21526
Cacnb2	14607899	14992719	384820
Cacnb3	98528721	98542410	13689
Cacnb4	52318332	52566843	248511
Cacng1	107594044	107607348	13304
Cacng2	77875948	78004228	128280
Cacng3	122269715	122368616	98901
Cacng4	107623183	107685383	62200
Cacng5	107765431	107805881	40450
Cacng6	3472711	3484183	11472
Cacng7	3381471	3416737	35266
Cacng8	3439199	3464164	24965
Cactin	81156937	81162076	5139
Cacul1	60513134	60569463	56329
Cacybp	160029937	160040445	10508
Cad	31212124	31235823	23699
Cadm1	47441471	47769413	327942
Cadm2	66452307	67417796	965489
Cadm3	173160825	173195261	34436
Cadm4	24181448	24203964	22516
Cadps	9646684	10097200	450516
Cadps2	23262772	23839420	576648
Cage1	38190028	38221045	31017
Calb1	15881264	15908064	26800
Calb2	110864134	110894842	30708
Calca	114230713	114235592	4879
Calcb	114317878	114322600	4722
Calcoco1	102615212	102630613	15401
Calcoco2	95990152	96002790	12638
Calcr	3685680	3764714	79034
Calcrl	84160970	84255755	94785
Cald1	34575435	34752408	176973
Calhm1	47129348	47132693	3345
Calhm2	47093792	47126733	32941
Calhm3	47140048	47146203	6155
Calhm4	33914780	33920306	5526
Calhm5	33963811	33972515	8704
Calhm6	34002063	34003980	1917
Calm1	100165694	100176073	10379
Calm2	87740840	87754363	13523
Calm3	16649304	16658039	8735
Calm4	3887757	3888673	916
Calm5	3904173	3904761	588
Calml3	3852896	3854316	1420
Calml4	62765362	62783203	17841
Caln1	130398296	130876253	477957
Calr	85568479	85573563	5084
Calr-ps	140797685	140798169	484
Calr3	73178020	73197714	19694
Calr4	109091682	109111768	20086
Calu	29348068	29377109	29041
Caly	139649793	139662461	12668
Camk1	113311085	113320945	9860
Camk1d	5298268	5719326	421058
Camk1g	193028654	193052606	23952
Camk2a	61058690	61121224	62534
Camk2b	5919644	6016362	96718
Camk2d	126389951	126639975	250024
Camk2g	20784943	20844156	59213
Camk2n1	138181625	138187434	5809
Camk2n2	20437965	20440037	2072
Camk4	33067984	33324281	256297
Camkk1	72909834	72932899	23065
Camkk2	122869233	122917472	48239
Camkmt	85397980	85766016	368036
Camkv	107812873	107826890	14017
Caml	55770818	55780224	9406
Camp	109676447	109678685	2238
Camsap1	25816850	25873294	56444
Camsap2	136195861	136273842	77981
Camsap3	3637293	3659075	21782
Camta1	151001779	151946333	944554
Camta2	70560289	70578931	18642
Cand1	119035160	119075960	40800
Cand2	115751499	115782518	31019
Cant1	118297115	118309912	12797
Canx	50184788	50216500	31712
Cap1	122752840	122779849	27009
Cap2	46655324	46803757	148433
Capg	72521374	72539966	18592
Capn1	6038573	6065927	27354
Capn10	92862098	92875663	13565
Capn11	45941130	45970251	29121
Capn12	28580847	28592988	12141
Capn13	73613459	73707861	94402
Capn15	26177338	26204770	27432
Capn2	182294825	182345173	50348
Capn3	120294053	120335399	41346
Capn5	97770766	97827481	56715
Capn6	142585227	142610410	25183
Capn7	31058595	31093943	35348
Capn8	182392572	182459917	67345
Capn9	125302850	125345470	42620
Capns1	29886361	29898236	11875
Capns2	93628035	93629039	1004
Caprin1	103593286	103627994	34708
Caprin2	148743990	148797735	53745
Caps2	111999526	112052460	52934
Capsl	9436114	9466124	30010
Capza1	104730095	104771821	41726
Capza1-ps1	105383696	105386554	2858
Capza2	17636233	17666971	30738
Capza3	139986978	139988504	1526
Capzb	138920210	139019129	98919
Car1	14831276	14873428	42152
Car10	92988854	93492575	503721
Car11	45349267	45354106	4839
Car12	66620968	66674127	53159
Car13	14706787	14728062	21275
Car14	95805080	95812003	6923
Car15	17653140	17656228	3088
Car2	14951333	14965830	14497
Car3	14928572	14937583	9011
Car4	84848612	84856870	8258
Car5a	122642865	122671643	28778
Car5b	162759818	162810993	51175
Car6	150271472	150285789	14317
Car7	105261321	105276975	15654
Car8	8143362	8239041	95679
Car9	43506966	43513729	6763
Card10	78659338	78687242	27904
Card11	140858745	140986337	127592
Card14	119198594	119236201	37607
Card19	49356426	49369513	13087
Card6	5125463	5138021	12558
Card9	26242188	26250930	8742
Carf	60137406	60193112	55706
Carhsp1	8476444	8490019	13575
Carlr	18804056	18806629	2573
Carm1	21458190	21503919	45729
Carmil1	24196327	24464778	268451
Carmil2	106412906	106424819	11913
Carmil3	55728108	55745729	17621
Carmn	61782696	61798608	15912
Carnmt1	18648128	18684564	36436
Carns1	4214323	4225478	11155
Cars	143110967	143153827	42860
Cars2	11563977	11600783	36806
Cartpt	100034997	100037599	2602
Casc1	145120560	145156731	36171
Casc3	98695731	98724640	28909
Casd1	4600839	4643355	42516
Cask	13383319	13717606	334287
Caskin1	24707575	24727645	20070
Caskin2	115690009	115704465	14456
Casp1	5298508	5307290	8782
