DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genome Coordinates (mouse: GRCm39 human: GRCh38)	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
51305830	human	9606	RAD9B	144715		HGNC:21700	OMIM:608368	Chr12 q24.11	Chr12:110501655-110533556(+)	NM_001368054,NM_152442,NM_001368056,NM_001368055,NM_001368053,NM_001368052,NM_001368051,NM_001286536,NM_001286535,NM_001286534,NM_001286533,NM_001286532,NM_001286531	NP_001354980,NP_001354981,NP_001354982,XP_054227184,XP_054227183,XP_047284349,XP_024304628,XP_011536274,XP_005253906,NP_689655,NP_001354985,NP_001354984,NP_001354983,XP_054227185,XP_054227186,NP_001273460,NP_001273461,NP_001273462,NP_001273463,NP_001273464,NP_001273465	Q6WBX8
51305831	mouse, laboratory	10090	Frem1	329872	MGI:2670972			Chr4 39.4 cM	Chr4:82816164-82970576(-)	NM_001198811,XM_030253616,XM_006538015,XM_006538014,XM_011250055,XM_006538013,XM_036164191,XM_006538018,XM_036164192,NM_177863	XP_006538076,NP_001185740,NP_808531,XP_006538081,XP_030109476,XP_011248357,XP_006538078,XP_006538077,XP_036020085,XP_036020084	Q684R7
51305831	human	9606	FREM1	158326		HGNC:23399	OMIM:608944	Chr9 p22.3	Chr9:14734671-14910995(-)	NM_001370058,NM_001370060,NM_001370061,NM_001370063,NM_001370065,NM_001379081,NM_144966,NM_001177704	NP_001171175,NP_001356987,NP_001356989,NP_001356990,NP_001356992,NP_001356994,NP_001366010,NP_659403,XP_006716792,XP_011516060,XP_016869805,XP_016869808,XP_016869809,XP_016869810,XP_016869811,XP_016869813,XP_016869814,XP_016869815,XP_016869816,XP_016869817,XP_016869818,XP_016869819,XP_047278800,XP_047278801,XP_047278802,XP_047278803,XP_047278804,XP_047278805,XP_047278806,XP_047278807,XP_047278808,XP_047278809,XP_047278810,XP_047278811,XP_047278812,XP_047278813,XP_047278814,XP_047278815,XP_054218084,XP_054218085,XP_054218086,XP_054218087,XP_054218088,XP_054218089,XP_054218090,XP_054218091,XP_054218092,XP_054218093,XP_054218094,XP_054218095,XP_054218096,XP_054218097,XP_054218098,XP_054218099,XP_054218100,XP_054218101,XP_054218102,XP_054218103,XP_054218104,XP_054218105,XP_054218106,XP_054218107,XP_054218108,XP_054218109,XP_054218110,XP_054218111,XP_054218112,XP_054218113,XP_054218114	Q5H8C1
51305832	mouse, laboratory	10090	Slc50a1	19729	MGI:107417			Chr3 39.04 cM	Chr3:89175553-89177877(-)	NM_001410556,NM_001410557,NM_001410554,NM_001410555,NM_001410553,NM_001410552,NM_001410558,NM_001410559,NM_009057,NM_001410560,NM_001410551	NP_001397480,NP_001397484,NP_001397489,NP_001397485,NP_001397486,NP_001397482,NP_001397481,NP_033083,NP_001397488,NP_001397487,NP_001397483	Q9CXK4
51305832	human	9606	SLC50A1	55974		HGNC:30657	OMIM:613683	Chr1 q22	Chr1:155135344-155138857(+)	NM_001287588,NM_001287592,NM_001287590,NM_001122837,NM_001122839,NM_001287586,NM_001287587,NM_001287591,NM_001287589,NM_018845	XP_047281416,NP_001116309,NP_001116311,NP_001274515,NP_001274516,NP_001274517,NP_001274518,NP_001274519,NP_001274520,NP_001274521,NP_061333,XP_005245399,XP_006711516,XP_047281398,XP_047281399,XP_047281420,XP_047281421,XP_054193686,XP_054193687,XP_054193688,XP_054193689,XP_054193690,XP_054193691,XP_054193692	Q9BRV3
51305833	mouse, laboratory	10090	Elp5	54351	MGI:1859017			Chr11 42.94 cM	Chr11:69859050-69872352(-)	XM_006533752,XM_030246159,NM_018740,XM_036156855,NM_001253700	XP_036012748,NP_061210,NP_001240629,XP_030102019,XP_006533815	Q99L85
51305833	human	9606	ELP5	23587		HGNC:30617	OMIM:615019	Chr17 p13.1	Chr17:7250823-7260165(+)	NM_203414,NM_015362,NM_203413,NM_203415	NP_056177,NP_981958,NP_981959,NP_981960,XP_011522081,XP_054171611,XP_054188628	Q8TE02
51305834	mouse, laboratory	10090	Ralb	64143	MGI:1927244			Chr1 52.29 cM	Chr1:119398035-119432512(-)	NM_022327,XM_036152733,XM_006529782	XP_006529845,NP_071722,XP_036008626	Q9JIW9
51305834	human	9606	RALB	5899		HGNC:9840	OMIM:179551	Chr2 q14.2	Chr2:120240050-120305300(+)	NM_002881,NM_001369400	NP_002872,XP_005263785,XP_047301313,XP_047301314,XP_047301315,XP_047301316,XP_047301317,XP_047301318,XP_047301319,XP_047301320,XP_047301321,XP_054199225,XP_054199226,XP_054199227,XP_054199228,XP_054199229,XP_054199230,XP_054199231,XP_054199232,NP_001356329	P11234
51305835	mouse, laboratory	10090	Aldh1a3	56847	MGI:1861722			Chr7 35.73 cM	Chr7:66040640-66077225(-)	NM_053080	NP_444310	Q9JHW9
51305835	human	9606	ALDH1A3	220		HGNC:409	OMIM:600463	Chr15 q26.3	Chr15:100861924-100916628(+)	NM_001037224,NM_001293815,NM_000693	NP_000684,NP_001280744	P47895
51305836	mouse, laboratory	10090	Ranbp3	71810	MGI:1919060			Chr17 29.45 cM	Chr17:56980294-57018764(+)	XM_030250055,XM_017317648,XM_030250056,XM_017317647,XM_006524945,XM_017317646,XM_006524944,XM_030250054,NM_001252467,NM_001252466,XM_011246620,XM_017317645,XM_017317649,NM_027933	XP_017173134,XP_011244922,XP_017173138,XP_017173137,XP_030105914,XP_017173136,XP_030105915,XP_006525008,XP_017173135,XP_030105916,XP_006525007,NP_082209,NP_001239395,NP_001239396	Q9CT10
51305836	human	9606	RANBP3	8498		HGNC:9850	OMIM:603327	Chr19 p13.3	Chr19:5916139-5978144(-)	NM_001300865,NM_007322,NM_007320,NM_007321,NM_003624	XP_011526696,XP_047295525,XP_047295526,XP_047295528,XP_047295529,XP_047295530,XP_047295531,XP_047295532,XP_047295533,XP_054178418,XP_054178419,XP_054178420,XP_054178421,XP_054178422,XP_054178423,XP_054178424,XP_054178425,XP_054178426,XP_054178427,XP_054178428,XP_054178429,XP_047295527,NP_001287794,NP_003615,NP_015559,NP_015561,XP_011526695	Q9H6Z4
51305837	mouse, laboratory	10090	Rangap1	19387	MGI:103071			Chr15 38.21 cM	Chr15:81588449-81614120(-)	NM_011241,NM_001358622,NM_001146174	NP_001139646,NP_001345551,NP_035371	P46061
51305837	human	9606	RANGAP1	5905		HGNC:9854	OMIM:602362	Chr22 q13.2	Chr22:41244779-41302369(-)	NM_001317930,NM_001278651,NM_002883	XP_054181785,XP_047297408,XP_016884386,XP_016884384,XP_016884382,XP_011528599,XP_006724352,XP_005261753,XP_005261752,NP_002874,NP_001304859,NP_001265580,XP_054181792,XP_054181791,XP_054181790,XP_054181789,XP_054181788,XP_054181787,XP_054181786,XP_054181784,XP_047297409	P46060
51305838	mouse, laboratory	10090	Tnfrsf1b	21938	MGI:1314883			Chr4 78.17 cM	Chr4:144940033-144973440(-)	NM_011610,XM_036163965	NP_035740,XP_036019858	P25119
51305838	human	9606	TNFRSF1B	7133		HGNC:11917	OMIM:191191	Chr1 p36.22	Chr1:12166977-12209228(+)	NM_001066	XP_011540365,XP_054194541,XP_054194542,XP_047285378,XP_047285380,XP_047285379,XP_054194544,NP_001057,XP_011540362,XP_054194543	P20333
51305839	mouse, laboratory	10090	Tnfsf11	21943	MGI:1100089			Chr14 41.26 cM	Chr14:78514886-78545483(-)	NM_011613	NP_035743	O35235
51305839	human	9606	TNFSF11	8600		HGNC:11926	OMIM:602642	Chr13 q14.11	Chr13:42562736-42608013(+)	NM_003701,NM_033012,NM_001446168,NM_001446167	NP_143026,NP_003692,XP_016876291,NP_001433097,XP_011533582,NP_001433096,XP_054231053,XP_054231052,XP_054231051,XP_054231050,XP_047286663,XP_016876292	O14788
51305840	mouse, laboratory	10090	Terf2ip	57321	MGI:1929871			Chr8 58.29 cM	Chr8:112738030-112747160(+)	NM_020584	NP_065609	Q91VL8
51305840	human	9606	TERF2IP	54386		HGNC:19246	OMIM:605061	Chr16 q23.1	Chr16:75647765-75761872(+)	NM_018975	NP_061848,XP_047290172,XP_054236453	Q9NYB0
51305841	mouse, laboratory	10090	Rap1a	109905	MGI:97852			Chr3 46.45 cM	Chr3:105634583-105708652(-)	NM_145541,XM_006500907,XM_030252385,XM_030252386,XM_036162857,XM_036162858,XM_030252384,XM_036162856	XP_030108244,NP_663516,XP_006500970,XP_036018751,XP_036018750,XP_036018749,XP_030108245,XP_030108246	P62835
51305841	human	9606	RAP1A	5906		HGNC:9855	OMIM:179520	Chr1 p13.2	Chr1:111542009-111716691(+)	NM_002884,NM_001370217,NM_001010935,NM_001370216,NM_001291896,NM_001394066	NP_001010935,NP_001357145,NP_001278825,NP_002875,NP_001380995,NP_001357146	P62834
51305842	mouse, laboratory	10090	Rap1gap	110351	MGI:109338			Chr4 70.02 cM	Chr4:137392037-137457172(+)	XM_030253087,XM_006538478,NM_001379233,NM_029563,NM_001379236,NM_001379235,NM_001379234,NM_001331215,XM_036163583,XM_036163582,XM_006538483,XM_006538482,XM_030253084,XM_006538475,NM_001081155,XM_036163584,XM_006538480,NM_001256218	NP_083839,NP_001243147,NP_001366164,NP_001366165,NP_001318144,NP_001074624,XP_006538538,XP_006538546,XP_006538545,XP_036019477,XP_030108947,XP_006538543,XP_036019476,XP_030108944,XP_036019475,XP_006538541,NP_001366162,NP_001366163	A2ALS5
51305842	human	9606	RAP1GAP	5909		HGNC:9858	OMIM:600278	Chr1 p36.12	Chr1:21596215-21669846(-)	NM_001388247,NM_001388224,NM_001388225,NM_001388226,NM_001388227,NM_001388210,NM_001388209,NM_001388208,NM_001388207,NM_001388228,NM_001388229,NM_001388206,NM_001388205,NM_001388204,NM_001388203,NM_001388202,NM_001388201,NM_001388200,NM_001350528,NM_001350527,NM_001350526,NM_001350525,NM_001350524,NM_001388230,NM_001330383,NM_001145658,NM_001145657,NM_001388231,NM_001388233,NM_001388234,NM_001388235,NM_001388236,NM_001388237,NM_001388238,NM_001388239,NM_001388240,NM_001388241,NM_001388242,NM_001388243,NM_001388244,NM_001388245,NM_001388246,NM_001388248,NM_001388249,NM_001388250,NM_001388251,NM_001388252,NM_001388253,NM_001388254,NM_001388255,NM_001388256,NM_001388258,NM_001388259,NM_001388261,NM_001388263,NM_001388264,NM_001388266,NM_001388267,NM_001388269,NM_001388270,NM_001388273,NM_001388276,NM_001388279,NM_001388280,NM_001388281,NM_001388282,NM_001388283,NM_001388284,NM_001388285,NM_001388286,NM_001388287,NM_001388288,NM_001388289,NM_001388290,NM_001388291,NM_001388292,NM_001388293,NM_001388294,NM_001388295,NM_001388296,NM_002885,NM_001388212,NM_001388211,NM_001388213,NM_001388214,NM_001388215,NM_001388216,NM_001388217,NM_001388218,NM_001388219,NM_001388220,NM_001388221,NM_001388222,NM_001388223	NP_001375173,NP_001375151,NP_001375150,NP_001375149,NP_001375148,NP_001375147,NP_001375146,NP_001375145,NP_001375144,NP_001375143,NP_001375142,NP_001375141,NP_001375140,NP_001375139,NP_001375138,NP_001375137,NP_001375136,NP_001375135,NP_001375134,NP_001375133,NP_001375132,NP_001375131,NP_001375130,NP_001139129,NP_001139130,NP_001317312,NP_001375129,NP_001337457,NP_001337456,NP_001337455,NP_001337454,NP_001337453,NP_001375216,NP_001375215,NP_001375214,NP_001375213,NP_001375212,NP_001375211,NP_001375210,NP_001375209,NP_001375208,NP_001375205,NP_001375202,NP_001375199,NP_001375198,NP_001375196,NP_001375195,NP_001375193,NP_001375192,NP_001375190,NP_001375188,NP_001375187,NP_001375185,NP_001375184,NP_001375183,NP_001375182,NP_001375181,NP_001375180,NP_001375179,NP_001375178,NP_001375177,NP_001375176,NP_001375175,NP_001375174,NP_001375152,NP_001375172,NP_001375171,NP_001375170,NP_001375169,NP_001375168,NP_001375167,NP_001375166,NP_001375165,NP_001375164,NP_001375163,NP_001375162,NP_001375160,NP_001375159,NP_001375158,NP_001375157,NP_001375156,NP_001375155,NP_001375154,NP_001375153,NP_002876,NP_001375225,NP_001375224,NP_001375223,NP_001375222,NP_001375221,NP_001375220,NP_001375219,NP_001375218,NP_001375217	P47736
51305843	mouse, laboratory	10090	Rundc3a	51799	MGI:1858752			Chr11 66.29 cM	Chr11:102284229-102293381(+)	XM_011249124,XM_006533693,XM_006533692,NM_016759,XM_030246121,XM_006533689,NM_001252347,NM_001362804,NM_001362803,XM_006533694,XM_006533688,XM_017314647,XM_006533691,XM_017314648,XM_006533690	XP_006533751,XP_006533753,XP_006533757,XP_006533756,NP_058039,XP_006533752,XP_017170137,XP_017170136,NP_001349732,NP_001349733,XP_030101981,NP_001239276,XP_011247426,XP_006533754,XP_006533755	O08576
51305843	human	9606	RUNDC3A	10900		HGNC:16984	OMIM:605448	Chr17 q21.31	Chr17:44307947-44318675(+)	NM_001144825,NM_001144826,NM_006695	XP_054170726,NP_001138297,XP_016879528,XP_016879529,XP_054170730,XP_054170729,XP_054170728,XP_054170727,XP_024306316,NP_001138298,NP_006686,XP_005257021,XP_016879524,XP_016879525,XP_016879526,XP_054170733,XP_054170732,XP_054170731,XP_016879527	Q59EK9
51305844	mouse, laboratory	10090	Rapgef1	107746	MGI:104580			Chr2 20.32 cM	Chr2:29509732-29630376(+)	XM_030246488,XM_006497587,XM_006497582,XM_030246484,XM_036157284,XM_006497592,NM_001039086,NM_001362702,NM_054050,XM_036157298,XM_006497584,XM_006497583,XM_036157299,XM_036157288,XM_036157277,XM_006497590,XM_036157304,XM_030246481,XM_030246482,XM_006497589,XM_030246483,XM_006497585,NM_001039087,XM_030246485,XM_036157280,XM_006497586,XM_030246487	XP_030102347,XP_006497648,XP_036013177,XP_006497647,XP_006497646,XP_036013197,XP_030102348,XP_006497650,XP_006497655,XP_006497652,XP_006497653,NP_473391,NP_001349631,NP_001034175,NP_001034176,XP_006497645,XP_036013191,XP_030102341,XP_036013173,XP_030102343,XP_030102342,XP_036013192,XP_036013181,XP_036013170,XP_030102345,XP_030102344,XP_006497649	
51305844	human	9606	RAPGEF1	2889		HGNC:4568	OMIM:600303	Chr9 q34.13	Chr9:131576758-131740117(-)	NM_001304275,NM_198679,NM_001377936,NM_005312,NM_001377935,NM_001377938,NM_001377937	XP_006717135,XP_054218775,XP_054218774,XP_054218773,XP_054218772,XP_054218771,XP_054218770,XP_054218769,XP_054218768,XP_054218767,XP_054218766,XP_054218765,XP_054218764,XP_054218763,XP_054218762,XP_054218761,XP_054218760,XP_054218759,XP_054218758,XP_054218757,XP_054218756,XP_054218755,XP_047279212,XP_047279211,XP_047279210,XP_047279209,XP_047279208,XP_047279207,XP_024303289,XP_016870125,XP_016870124,XP_016870122,XP_011516884,XP_011516883,XP_011516881,XP_011516880,XP_011516879,XP_011516878,XP_011516874,XP_011516873,XP_006717137,XP_006717130,XP_005272243,NP_941372,NP_005303,NP_001364867,NP_001364866,NP_001364865,NP_001364864,NP_001291204	Q13905
51305845	mouse, laboratory	10090	Rapgef4	56508	MGI:1917723			Chr2 42.9 cM	Chr2:71811584-72087818(+)	XM_030251899,NM_001355478,NM_001204167,NM_001204166,NM_001204165,XM_036162415,XM_006499938,NM_019688	NP_001191096,NP_001342407,NP_062662,XP_030107759,XP_006500001,XP_036018308,NP_001191095,NP_001191094	Q9EQZ6
51305845	human	9606	RAPGEF4	11069		HGNC:16626	OMIM:606058	Chr2 q31.1	Chr2:172735274-173052893(+)	NM_001375866,NM_001282900,NM_001282899,NM_001100397,NM_001375867,NM_001375868,NM_001375869,NM_001375870,NM_001375871,NM_001375872,NM_001375873,NM_001375874,NM_001375875,NM_001375876,NM_007023,NM_001375864,NM_001375865,NM_001282901	NP_008954,XP_054196234,XP_054196233,XP_054196232,XP_054196231,XP_054196230,XP_054196229,XP_054196228,XP_054196227,XP_054196226,XP_047298989,XP_047298988,XP_047298987,XP_047298986,XP_047298985,XP_047298984,XP_016858686,XP_016858685,XP_006712268,NP_001362805,NP_001362804,NP_001362803,NP_001362802,NP_001362801,NP_001362800,NP_001362799,NP_001362798,NP_001362797,NP_001362796,NP_001362795,NP_001362794,NP_001362793,NP_001269830,NP_001269829,NP_001269828,NP_001093867	Q8WZA2
51305846	mouse, laboratory	10090	Raph1	77300	MGI:1924550			Chr1 30.48 cM	Chr1:60521451-60606263(-)	NM_001045513,XM_030243571,XM_006496322,XM_017312876,XM_006496323,XM_030243573,XM_006496324,XM_006496327,XM_006496326,XM_030243566	XP_017168365,XP_006496389,XP_006496387,XP_006496390,XP_006496386,XP_030099433,NP_001038978,XP_030099431,XP_030099426,XP_006496385	
51305846	human	9606	RAPH1	65059		HGNC:14436	OMIM:609035	Chr2 q33.2	Chr2:203394345-203535451(-)	NM_001329728,NM_001439019,NM_001439024,NM_001439027,NM_001439030,NM_001439031,NM_025252,NM_203365,NM_213589	XP_047301496,XP_047301497,XP_047301498,XP_047301499,XP_047301503,XP_047301505,XP_047301506,XP_047301507,XP_054199412,XP_054199413,XP_054199419,XP_054199414,NP_001316657,NP_001425948,NP_001425953,NP_001425956,NP_001425959,NP_001425960,NP_976241,NP_998754,XP_006712758,XP_011509948,XP_047301494,XP_047301495	Q70E73
51305847	mouse, laboratory	10090	Rapsn	19400	MGI:99422			Chr2 50.44 cM	Chr2:90865965-90876074(+)	NM_001420853,NM_001420849,NM_009023,NM_001420847,NM_001420848,NM_001420852,NM_001420854,NM_001420851,NM_001420855,NM_001420850	NP_033049,NP_001407778,NP_001407777,NP_001407779,NP_001407784,NP_001407776,NP_001407781,NP_001407780,NP_001407783,NP_001407782	P12672
51305847	human	9606	RAPSN	5913		HGNC:9863	OMIM:601592	Chr11 p11.2	Chr11:47437762-47449192(-)	NM_001440492,NM_001440495,NM_001440494,NM_001440502,NM_001440503,NM_001440504,NM_001440501,NM_001440500,NM_001440490,NM_005055,NM_001440493,NM_032645,NM_001440499,NM_001440498,NM_001440497,NM_001440496,NM_001440491	NP_001427433,NP_005046,NP_116034,NP_001427431,NP_001427430,NP_001427429,NP_001427421,NP_001427422,NP_001427428,NP_001427427,NP_001427426,NP_001427425,NP_001427419,NP_001427423,NP_001427424,NP_001427432,NP_001427420	Q13702
51305848	mouse, laboratory	10090	Rarres1	109222	MGI:1924461			Chr3 30.99 cM	Chr3:67386305-67422856(-)	XM_130987,NM_001164763	NP_001158235	
51305848	human	9606	RARRES1	5918		HGNC:9867	OMIM:605090	Chr3 q25.32	Chr3:158696892-158732798(-)	NM_206963,NM_002888	NP_002879,XP_054203394,NP_996846,XP_005247743	P49788
51305849	mouse, laboratory	10090	Lxn	17035	MGI:107633			Chr3 30.98 cM	Chr3:67365332-67371240(-)	NM_016753	NP_058033	P70202
51305849	human	9606	LXN	56925		HGNC:13347	OMIM:609305	Chr3 q25.32	Chr3:158645822-158672648(-)	NM_020169	NP_064554	Q9BS40
51305850	mouse, laboratory	10090	Rars1	104458	MGI:1914297			Chr11 21.96 cM	Chr11:35699208-35725333(-)	NM_025936,XM_036156202	XP_036012095,NP_080212	Q9D0I9
51305850	human	9606	RARS1	5917		HGNC:9870	OMIM:107820	Chr5 q34	Chr5:168486447-168519306(+)	NM_002887	NP_002878	P54136
51305851	mouse, laboratory	10090	Rasgrf2	19418	MGI:109137			Chr13 47.43 cM	Chr13:92028519-92268164(-)	NM_009027,XM_036157922,XM_036157921	XP_036013815,XP_036013814,NP_033053	P70392
51305851	human	9606	RASGRF2	5924		HGNC:9876	OMIM:606614	Chr5 q14.1	Chr5:80960310-81230162(+)	NM_006909	XP_054209013,XP_054209014,XP_054209015,XP_054209016,XP_005248622,XP_016865172,XP_047273419,XP_047273420,XP_047273421,XP_047273422,XP_054209011,XP_054209012,NP_008840	O14827
51305852	mouse, laboratory	10090	Rassf2	215653	MGI:2442060			Chr2 64.14 cM	Chr2:131834770-131872336(-)	XM_006499144,XM_006499139,NM_175445,XM_006499140,NM_001362866,XM_006499141	XP_006499204,XP_006499203,XP_006499207,NP_001349795,NP_780654,XP_006499202	Q8BMS9
51305852	human	9606	RASSF2	9770		HGNC:9883	OMIM:609492	Chr20 p13	Chr20:4780019-4823870(-)	NM_170773,NM_170774,NM_014737	XP_011527713,XP_054180257,XP_054180264,XP_054180263,XP_054180262,XP_054180261,XP_054180260,XP_054180255,XP_054180256,XP_054180259,XP_054180258,XP_047296576,XP_047296577,XP_047296578,XP_054180253,XP_054180254,NP_055552,NP_739580,XP_005260952,XP_011527712,XP_016883638,XP_016883639,XP_016883640,XP_016883641,XP_016883642,XP_047296574,XP_047296575	P50749
51305853	mouse, laboratory	10090	Rbbp4	19646	MGI:1194912			Chr4 63.26 cM	Chr4:129200893-129229163(-)	NM_009030	NP_033056	Q60972
51305853	human	9606	RBBP4	5928		HGNC:9887	OMIM:602923	Chr1 p35.1	Chr1:32651142-32686211(+)	NM_001135255,NM_005610,NM_001135256	NP_001128728,NP_005601,NP_001128727	Q09028
51305854	mouse, laboratory	10090	Rbbp7	245688	MGI:1194910			ChrX 74.97 cM	ChrX:161543398-161562088(+)	NM_009031,XM_030251353	NP_033057,XP_030107213	Q60973
51305854	human	9606	RBBP7	5931		HGNC:9890	OMIM:300825	ChrX p22.2	ChrX:16839283-16870372(-)	NM_001198719,NM_002893	NP_002884,XP_047298247,XP_047298248,XP_054183444,XP_054183445,NP_001185648	Q16576
51305855	mouse, laboratory	10090	Dnajc27	217378	MGI:2443036			Chr12 1.99 cM	Chr12:4132583-4160606(+)	NM_153082,XM_006515053,XM_006515052	XP_006515116,NP_694722,XP_006515115	Q8CFP6
51305855	human	9606	DNAJC27	51277		HGNC:30290	OMIM:613527	Chr2 p23.3	Chr2:24943636-24972094(-)	NM_001198559,NM_016544	XP_054198395,NP_001185488,NP_057628,XP_011531204,XP_047300603,XP_047300604,XP_054198393,XP_054198394	Q9NZQ0
51305856	mouse, laboratory	10090	Rbm24	666794	MGI:3610364			Chr13 23.61 cM	Chr13:46571910-46584571(+)	NM_001081425	NP_001074894	D3Z4I3
51305856	human	9606	RBM24	221662		HGNC:21539	OMIM:617603	Chr6 p22.3	Chr6:17281361-17293871(+)	NM_001143942,NM_001143941,NM_153020	XP_054210602,XP_054210604,NP_001137413,NP_001137414,NP_694565,XP_011512689,XP_011512690,XP_047274325,XP_054210603	Q9BX46
51305857	mouse, laboratory	10090	Esrp1	207920	MGI:1917326			Chr4 5.11 cM	Chr4:11331933-11386783(-)	XM_006537718,XM_006537717,NM_194055,NM_001347052,XM_006537715,XM_006537716,NM_001290383	XP_006537780,XP_006537781,XP_006537778,XP_006537779,NP_001333981,NP_001277312,NP_918944	Q3US41
51305857	human	9606	ESRP1	54845		HGNC:25966	OMIM:612959	Chr8 q22.1	Chr8:94640987-94707466(+)	NM_001122825,NM_001034915,NM_017697,NM_001122827,NM_001122826	XP_054216705,XP_047277872,XP_005251048,NP_060167,NP_001116299,NP_001116298,NP_001116297,NP_001030087,XP_054216706	Q6NXG1
51305858	mouse, laboratory	10090	Rbm39	170791	MGI:2157953			Chr2 77.36 cM	Chr2:155989159-156022158(-)	XM_030247972,XM_030247986,XM_011239327,XM_030248017,XM_030248000,XM_036158977,XM_036158981,XM_030248011,NM_001362769,XM_030248021,XM_030248020,XM_036158989,XM_017315989,XM_030248031,XM_036158976,XM_036158990,XM_017316005,XM_036158986,XM_017315976,XM_006498844,XM_036158988,XM_030247987,XM_030247973,XM_030248028,NM_001362765,NM_001291115,NM_001362768,NM_001362767,XM_030247975,XM_030247989,XM_036158985,XM_036158984,XM_036158983,NM_001291114,XM_017315994,XM_011239325,XM_036158987,XM_006498849,XM_030247970,XM_030247976,XM_036158991,XM_011239322,XM_017315991,XM_011239323,XM_030247991,XM_030248002,NM_001362764,XM_011239324,XM_036158975,NM_001362763,NM_133242,NM_001362766	XP_030103833,XP_011237626,XP_036014878,XP_011237629,XP_036014884,XP_006498912,XP_030103846,XP_036014883,XP_036014882,XP_030103888,XP_036014881,XP_030103847,XP_011237627,XP_036014869,XP_036014870,XP_030103835,XP_030103849,NP_573505,XP_030103880,XP_017171465,XP_030103881,XP_030103860,NP_001349698,XP_030103851,NP_001349695,NP_001349696,XP_017171480,XP_030103862,NP_001278044,NP_001349693,NP_001278043,NP_001349694,NP_001349692,XP_017171494,XP_030103871,XP_006498907,XP_030103891,XP_017171483,XP_036014880,XP_030103830,XP_030103832,XP_030103877,XP_011237625,XP_017171478,XP_030103836,XP_036014874,XP_036014877,XP_036014876,XP_036014879,XP_036014868,XP_011237624,NP_001349697	Q8VH51
51305858	human	9606	RBM39	9584		HGNC:15923	OMIM:604739	Chr20 q11.22	Chr20:35701347-35742312(-)	NM_001323424,NM_004902,NM_001242599,NM_184237,NM_184244,NM_001242600,NM_184241,NM_001323423,NM_001323422,NM_184234	NP_001310352,XP_054180226,XP_054180222,XP_054180223,XP_006723954,XP_016883627,XP_024307791,XP_047296558,XP_047296559,XP_047296560,XP_054180227,XP_054180225,NP_001310351,NP_001229529,NP_001229528,XP_047296561,NP_004893,XP_054180228,NP_001310353,NP_909122,XP_054180224	Q14498
51305859	mouse, laboratory	10090	Rbm4b	66704	MGI:1913954			Chr19 4.11 cM	Chr19:4806480-4816199(+)	XM_006531826,XM_030251030,NM_025717,XM_006531824,XM_006531825,XM_006531827	NP_079993,XP_030106890,XP_006531889,XP_006531888,XP_006531890,XP_006531887	Q8VE92
51305859	human	9606	RBM4B	83759		HGNC:28842	OMIM:621045	Chr11 q13.2	Chr11:66664996-66677925(-)	NM_001286135,NM_031492	XP_054226119,NP_001273064,NP_113680,XP_011543599,XP_016873891,XP_054226120	Q9BQ04
51305860	mouse, laboratory	10090	Rbfox2	93686	MGI:1933973			Chr15 36.4 cM	Chr15:76963190-77191204(-)	XM_006521569,XM_006521568,NM_001412010,NM_001412026,NM_001412011,NM_175387,NM_001412024,NM_001412023,NM_001412022,NM_001412021,NM_001412020,NM_001412030,NM_001110830,NM_001412031,XM_036159654,XM_036159655,NM_001412012,XM_036159656,NM_001412019,NM_001110829,NM_001412013,NM_001412014,XM_030248852,XM_006521587,XM_006521580,NM_001412009,NM_001358772,XM_006521574,NM_001412018,NM_001412017,XM_006521576,NM_001412007,NM_001412008,XM_006521570,NM_001110827,NM_001286418,NM_001110828,NM_001286419,NM_001286417,NM_001412016,NM_001412029,NM_001358770,NM_001412028,NM_001412027,NM_001412032,NM_001412015,NM_001412025,NM_053104	NP_001273346,NP_001398939,NP_780596,NP_001398949,NP_001398957,NP_001398945,NP_001398936,NP_001398958,NP_001398946,NP_001104298,NP_001345699,NP_001398937,NP_001398959,NP_001398952,XP_006521632,NP_001398947,NP_001104299,NP_001398953,NP_001398954,XP_036015547,NP_001398956,XP_006521633,XP_036015549,NP_001398950,NP_001273347,NP_001398940,NP_001398938,NP_001398955,NP_001104297,NP_001398960,NP_001398948,NP_001398961,NP_001104300,NP_001273348,NP_001398944,NP_001398943,XP_006521637,NP_001398942,NP_444334,XP_036015548,NP_001398951,XP_006521643,XP_006521639,NP_001345701,XP_030104712,XP_006521650,XP_006521631,NP_001398941	Q8BP71
